Localidad;Barrio;Fecha;Farmacia;Direccion;Duración;Teléfono;GoogleMaps
Madrid;BARAJAS-ALAMEDA DE OSUNA;01/01/2021;19;AV GENERAL,   1 (BARAJAS);SERVICIO DIURNO (DE 9'30 A 23'00);913054120;Av. General, 1, 28042 Madrid
Madrid;CENTRO;01/01/2021;46;PZ DEL ANGEL,  14 (Entre Pz Benavente y Santa Ana);SERVICIO 24 HORAS (DE 9'30 A 9'30);913692318;Plaza del Ángel, 14, 28012 Madrid
Madrid;CHAMBERI-MONCLOA;01/01/2021;55;CL FERRAZ,  13;SERVICIO DIURNO (DE 9'30 A 23'00);915470572;Calle de Ferraz, 13, 28008 Madrid
Madrid;CHAMARTIN-HORTALEZA;01/01/2021;95;AV MACHUPICHU,  37 LC 2 Y 3;SERVICIO 24 HORAS (DE 9'30 A 9'30);913887588;Av. de Machupichu, 37, 28043 Madrid
Madrid;CENTRO;01/01/2021;102;PZ PUERTA DEL SOL,  14;SERVICIO DIURNO (DE 9'30 A 23'00);915312514;Puerta del Sol, 14, 28013 Madrid
Madrid;SALAMANCA-VENTAS;01/01/2021;119;CL NARVAEZ,   3 (Esquina a Goya);SERVICIO DIURNO (DE 9'30 A 23'00);915770032;C. de Narváez, 3, 28009 Madrid
Madrid;USERA-VILLAVERDE;01/01/2021;123;ESQ AV LOS POBLADOS (AV ANDALUCIA, KM 6,4);SERVICIO 24 HORAS (DE 9'30 A 9'30);917237731;Av. de Andalucía,400, 28041 Madrid
Madrid;PUENTE DE VALLECAS-ENTREVIAS;01/01/2021;124;CL CLEOPATRA,   6;SERVICIO DIURNO (DE 9'30 A 23'00);915073257;Calle los Santos Inocentes, 6, 28018 Madrid
Madrid;SALAMANCA-VENTAS;01/01/2021;126;CL CONDE DE PEÑALVER,  80 (Semiesquina a Juan Bravo);SERVICIO DIURNO (DE 9'30 A 23'00);914021171;Calle del Conde de Peñalver, 80, 28006 Madrid
Madrid;CHAMBERI-MONCLOA;01/01/2021;136;CL CEA BERMUDEZ,  15;SERVICIO 24 HORAS (DE 9'30 A 9'30);915335849;Calle de Cea Bermúdez, 15, 28003 Madrid
Madrid;PUEBLO DE VALLECAS;01/01/2021;139;PS FEDERICO GARCIA LORCA,  19 (Antes A. de los Caidos);SERVICIO 24 HORAS (DE 9'30 A 9'30);913320826;Paseo Federico García Lorca, 19, 28031 Madrid
Madrid;RETIRO-ARGANZUELA;01/01/2021;187;AV MENENDEZ PELAYO,  45;SERVICIO 24 HORAS (DE 9'30 A 9'30);914095759;Av. de Menéndez Pelayo, 45, 28009 Madrid
Madrid;CENTRO;01/01/2021;238;PZ SAN MIGUEL,   8 (Frente mercado S.Miguel-Proximo c/Mayor);SERVICIO DIURNO (DE 9'30 A 23'00);915480618;Plaza de San Miguel, 8, 28005 Madrid
Madrid;SALAMANCA-VENTAS;01/01/2021;279;CL VELAZQUEZ,  70;SERVICIO DIURNO (DE 9'30 A 23'00);914351347;Calle de Velázquez, 70, 28001 Madrid
Madrid;CIUDAD LINEAL-SAN BLAS;01/01/2021;286;CL SAN ROMUALDO,  51;SERVICIO DIURNO (DE 9'30 A 23'00);913759068;Calle de San Romualdo, 51, 28037 Madrid
Madrid;CHAMBERI-MONCLOA;01/01/2021;287;CL PRINCESA,  72 (Esq.Hilarion Eslava);SERVICIO DIURNO (DE 9'30 A 23'00);915439463;C. de la Princesa, 72, 28008 Madrid
Madrid;SALAMANCA-VENTAS;01/01/2021;289;CL ALCALA, 172 (Entre Manuel Becerra y Ventas);SERVICIO DIURNO (DE 9'30 A 23'00);911626491;Calle de Alcalá, 172, 28028 Madrid
Madrid;CENTRO;01/01/2021;331;CL MAYOR,  13;SERVICIO 24 HORAS (DE 9'30 A 9'30);913664616;Calle Mayor, 13, 28013 Madrid
Madrid;SALAMANCA-VENTAS;01/01/2021;333;CL ALCALA, 173 (Esquina a Montesa);SERVICIO DIURNO (DE 9'30 A 23'00);914013639;Calle de Alcalá, 173, 28009 Madrid
Madrid;CENTRO;01/01/2021;350;CL TOLEDO,  46 (Metro La Latina);SERVICIO DIURNO (DE 9'30 A 23'00);913653458;Calle de Toledo, 46, 28005 Madrid
Madrid;CARABANCHEL-LATINA;01/01/2021;367;PS EXTREMADURA, 124;SERVICIO 24 HORAS (DE 9'30 A 9'30);914631194;Paseo de Extremadura, 124, 28011 Madrid
Madrid;SALAMANCA-VENTAS;01/01/2021;408;CL FRANCISCO SILVELA,  75;SERVICIO DIURNO (DE 9'30 A 23'00);915622621;Calle de Francisco Silvela, 75, 28028 Madrid
Madrid;CHAMARTIN-HORTALEZA;01/01/2021;412;CL VALDETORRES DEL JARAMA,  31 (Frente Cen. Com. Gran Via de Hortaleza);SERVICIO DIURNO (DE 9'30 A 23'00);913818898;Calle de Valdetorres de Jarama, 31, 28043 Madrid
Madrid;USERA-VILLAVERDE;01/01/2021;493;CL MARCELO USERA, 114;SERVICIO 24 HORAS (DE 9'30 A 9'30);914756729;Calle de Marcelo Usera, 116, 28026 Madrid
Madrid;CHAMBERI-MONCLOA;01/01/2021;509;CL BLASCO DE GARAY,   5 (Semiesquina Alberto Aguilera);SERVICIO DIURNO (DE 9'30 A 23'00);915474731;Calle de Blasco de Garay, 5, 28015 Madrid
Madrid;PUENTE DE VALLECAS-ENTREVIAS;01/01/2021;515;AV MONTE IGUELDO,  14;SERVICIO 24 HORAS (DE 9'30 A 9'30);914339315;Av del Monte Igueldo, 14, 28053 Madrid
Madrid;SALAMANCA-VENTAS;01/01/2021;524;CL GOYA,  89;SERVICIO DIURNO (DE 9'30 A 23'00);914354958;Calle de Goya, nº 89, 28001 Madrid
Madrid;CHAMBERI-MONCLOA;01/01/2021;525;CL PRINCESA,  30;SERVICIO DIURNO (DE 9'30 A 23'00);915423388;C. de la Princesa, 30, 28008 Madrid
Madrid;CHAMBERI-MONCLOA;01/01/2021;535;CL ELOY GONZALO,  31;SERVICIO 24 HORAS (DE 9'30 A 9'30);914489932;Calle Eloy Gonzalo, 31, 28010 Madrid
